"id","A_Kanton","D_Jahr","D_Forstzone","D_Eigentümertyp","D_Holzartengruppe","M_Holzernte.Total","M_Stammholz","M_Industrieholz","M_Energieholz.Total","M_Stück.Energieholz","M_X...Hack.Energieholz","M_Übrige.Sortimente"
11,"Solothurn",2019,"Schweiz","Privatwälder","Nadelholz","9945","5267","1346","3332","3233","99","0"
11,"Solothurn",2019,"Schweiz","Privatwälder","Laubholz","17445","1987","1613","13845","13347","498","0"
12,"Basel-Stadt",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","3300","450","251","2599","0","2599","0"
12,"Basel-Stadt",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","228","150","63","15","0","15","0"
12,"Basel-Stadt",2019,"Schweiz","Eigentümertyp - Total","Laubholz","3072","300","188","2584","0","2584","0"
12,"Basel-Stadt",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","3300","450","251","2599","0","2599","0"
12,"Basel-Stadt",2019,"Schweiz","Öffentliche Wälder","Nadelholz","228","150","63","15","0","15","0"
12,"Basel-Stadt",2019,"Schweiz","Öffentliche Wälder","Laubholz","3072","300","188","2584","0","2584","0"
12,"Basel-Stadt",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","0","0","0","0","0","0","0"
12,"Basel-Stadt",2019,"Schweiz","Privatwälder","Nadelholz","0","0","0","0","0","0","0"
12,"Basel-Stadt",2019,"Schweiz","Privatwälder","Laubholz","0","0","0","0","0","0","0"
13,"Basel-Landschaft",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","124254","33997","11970","78192","14858","63334","95"
13,"Basel-Landschaft",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","25405","12871","3323","9116","860","8256","95"
13,"Basel-Landschaft",2019,"Schweiz","Eigentümertyp - Total","Laubholz","98849","21126","8647","69076","13998","55078","0"
13,"Basel-Landschaft",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","111006","30796","11509","68606","10142","58464","95"
13,"Basel-Landschaft",2019,"Schweiz","Öffentliche Wälder","Nadelholz","22537","11273","3233","7936","94","7842","95"
13,"Basel-Landschaft",2019,"Schweiz","Öffentliche Wälder","Laubholz","88469","19523","8276","60670","10048","50622","0"
13,"Basel-Landschaft",2019,"Schweiz","Privatwälder","Holzartengruppe - Total","13248","3201","461","9586","4716","4870","0"
13,"Basel-Landschaft",2019,"Schweiz","Privatwälder","Nadelholz","2868","1598","90","1180","766","414","0"
13,"Basel-Landschaft",2019,"Schweiz","Privatwälder","Laubholz","10380","1603","371","8406","3950","4456","0"
14,"Schaffhausen",2019,"Schweiz","Eigentümertyp - Total","Holzartengruppe - Total","92764","39106","18273","35385","13755","21630","0"
14,"Schaffhausen",2019,"Schweiz","Eigentümertyp - Total","Nadelholz","58727","35247","9720","13760","3556","10204","0"
14,"Schaffhausen",2019,"Schweiz","Eigentümertyp - Total","Laubholz","34037","3859","8553","21625","10199","11426","0"
14,"Schaffhausen",2019,"Schweiz","Öffentliche Wälder","Holzartengruppe - Total","83138","35731","17134","30273","12372","17901","0"
14,"Schaffhausen",2019,"Schweiz","Öffentliche Wälder","Nadelholz","51608","32215","8787","10606","3090","7516","0"
