 "taxonLabel" , "artenGruppeLabel" , "status" , "year" , "totalSpecies" ,
 "Amphibia" , "Amphibien" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "1994-01-01" , "1" ,
 "Amphibia" , "Amphibien" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "2005-01-01" , "1" ,
 "Amphibia" , "Amphibien" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "2005-01-01" , "0" ,
 "Amphibia" , "Amphibien" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "2005-01-01" , "9" ,
 "Amphibia" , "Amphibien" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "2005-01-01" , "4" ,
 "Amphibia" , "Amphibien" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "2005-01-01" , "1" ,
 "Amphibia" , "Amphibien" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "2005-01-01" , "3" ,
 "Amphibia" , "Amphibien" , "https://environment.ld.admin.ch/foen/red-lists/status/DD" , "2005-01-01" , "2" ,
 "Amphibia" , "Amphibien" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "2020-01-01" , "0" ,
 "Amphibia" , "Amphibien" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "2020-01-01" , "0" ,
 "Amphibia" , "Amphibien" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "2020-01-01" , "0" ,
 "Amphibia" , "Amphibien" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "2020-01-01" , "0" ,
 "Amphibia" , "Amphibien" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "2020-01-01" , "0" ,
 "Amphibia" , "Amphibien" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "2020-01-01" , "0" ,
 "Amphibia" , "Amphibien" , "https://environment.ld.admin.ch/foen/red-lists/status/DD" , "2020-01-01" , "0" ,
 "Pisces, Cyclostomata, Petromyzontidae" , "Fische und Rundmäuler" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "1994-01-01" , "7" ,
 "Pisces, Cyclostomata, Petromyzontidae" , "Fische und Rundmäuler" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "1994-01-01" , "5" ,
 "Pisces, Cyclostomata, Petromyzontidae" , "Fische und Rundmäuler" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "1994-01-01" , "8" ,
 "Pisces, Cyclostomata, Petromyzontidae" , "Fische und Rundmäuler" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "1994-01-01" , "8" ,
 "Pisces, Cyclostomata, Petromyzontidae" , "Fische und Rundmäuler" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "1994-01-01" , "14" ,
 "Pisces, Cyclostomata, Petromyzontidae" , "Fische und Rundmäuler" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "1994-01-01" , "12" ,
 "Pisces, Cyclostomata, Petromyzontidae" , "Fische und Rundmäuler" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "2007-01-01" , "8" ,
 "Pisces, Cyclostomata, Petromyzontidae" , "Fische und Rundmäuler" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "2007-01-01" , "6" ,
 "Pisces, Cyclostomata, Petromyzontidae" , "Fische und Rundmäuler" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "2007-01-01" , "5" ,
 "Pisces, Cyclostomata, Petromyzontidae" , "Fische und Rundmäuler" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "2007-01-01" , "13" ,
 "Pisces, Cyclostomata, Petromyzontidae" , "Fische und Rundmäuler" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "2007-01-01" , "9" ,
 "Pisces, Cyclostomata, Petromyzontidae" , "Fische und Rundmäuler" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "2007-01-01" , "14" ,
 "Pisces, Cyclostomata, Petromyzontidae" , "Fische und Rundmäuler" , "https://environment.ld.admin.ch/foen/red-lists/status/DD" , "2007-01-01" , "0" ,
 "Pisces, Cyclostomata, Petromyzontidae" , "Fische und Rundmäuler" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "2020-01-01" , "9" ,
 "Pisces, Cyclostomata, Petromyzontidae" , "Fische und Rundmäuler" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "2020-01-01" , "14" ,
 "Pisces, Cyclostomata, Petromyzontidae" , "Fische und Rundmäuler" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "2020-01-01" , "7" ,
 "Pisces, Cyclostomata, Petromyzontidae" , "Fische und Rundmäuler" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "2020-01-01" , "11" ,
 "Pisces, Cyclostomata, Petromyzontidae" , "Fische und Rundmäuler" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "2020-01-01" , "9" ,
 "Pisces, Cyclostomata, Petromyzontidae" , "Fische und Rundmäuler" , "https://environment.ld.admin.ch/foen/red-lists/status/LC" , "2020-01-01" , "14" ,
 "Pisces, Cyclostomata, Petromyzontidae" , "Fische und Rundmäuler" , "https://environment.ld.admin.ch/foen/red-lists/status/DD" , "2020-01-01" , "5" ,
 "Tipulidae" , "Schnaken" , "https://environment.ld.admin.ch/foen/red-lists/status/RE" , "1994-01-01" , "2" ,
 "Tipulidae" , "Schnaken" , "https://environment.ld.admin.ch/foen/red-lists/status/CR" , "1994-01-01" , "18" ,
 "Tipulidae" , "Schnaken" , "https://environment.ld.admin.ch/foen/red-lists/status/EN" , "1994-01-01" , "11" ,
 "Tipulidae" , "Schnaken" , "https://environment.ld.admin.ch/foen/red-lists/status/VU" , "1994-01-01" , "15" ,
 "Tipulidae" , "Schnaken" , "https://environment.ld.admin.ch/foen/red-lists/status/NT" , "1994-01-01" , "21" ,
