"subject","predicate","object"
"https://environment.ld.admin.ch/foen/BAFU_LuChem_EMIS_pollutants_KCA_all_years/7","http://purl.org/dc/terms/publisher","Federal Office for the Environment FOEN"
"https://environment.ld.admin.ch/foen/BAFU_LuChem_EMIS_pollutants_KCA_all_years/7","http://schema.org/about","https://register.ld.admin.ch/foen/theme/11"
"https://environment.ld.admin.ch/foen/BAFU_LuChem_EMIS_pollutants_KCA_all_years/7","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://environment.ld.admin.ch/foen/BAFU_LuChem_EMIS_pollutants_KCA_all_years/7","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://environment.ld.admin.ch/foen/BAFU_LuChem_EMIS_pollutants_KCA_all_years/7","http://schema.org/creator","https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-umwelt-bafu"
"https://environment.ld.admin.ch/foen/BAFU_LuChem_EMIS_pollutants_KCA_all_years/7","http://schema.org/datePublished","2022-08-17"
"https://environment.ld.admin.ch/foen/BAFU_LuChem_EMIS_pollutants_KCA_all_years/7","http://schema.org/description","Cf. IIR report Submission 2022."
"https://environment.ld.admin.ch/foen/BAFU_LuChem_EMIS_pollutants_KCA_all_years/7","http://schema.org/name","Schlüsselkategorien für die wichtigsten Schadstoffe für das Einreichungsjahr 2022"
"https://environment.ld.admin.ch/foen/BAFU_LuChem_EMIS_pollutants_KCA_all_years/7","http://schema.org/workExample","https://ld.admin.ch/application/visualize"
"https://environment.ld.admin.ch/foen/BAFU_LuChem_EMIS_pollutants_KCA_all_years/7","https://visualize.admin.ch/hasDimension","https://environment.ld.admin.ch/foen/BAFU_LuChem_EMIS_pollutants_KCA_all_years/year"
"https://environment.ld.admin.ch/foen/BAFU_LuChem_EMIS_pollutants_KCA_all_years/year","https://visualize.admin.ch/hasTimeUnit","http://www.w3.org/2006/time#unitYear"
"https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-umwelt-bafu","http://schema.org/name","Bundesamt für Umwelt BAFU"
"https://register.ld.admin.ch/opendataswiss/category/territory","http://schema.org/name","Raum und Umwelt"
"https://register.ld.admin.ch/foen/theme/11","http://schema.org/inDefinedTermSet","https://register.ld.admin.ch/foen/theme"
"https://register.ld.admin.ch/foen/theme/11","http://schema.org/name","Luft"
"https://energy.ld.admin.ch/sfoe/bfe_multiplemeasure_test/6","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://cube.link/Cube"
"https://energy.ld.admin.ch/sfoe/bfe_multiplemeasure_test/6","https://cube.link/observationConstraint","https://energy.ld.admin.ch/sfoe/bfe_multiplemeasure_test/6/shape/"
"https://energy.ld.admin.ch/sfoe/bfe_multiplemeasure_test/6","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/energy"
"https://energy.ld.admin.ch/sfoe/bfe_multiplemeasure_test/6","http://purl.org/dc/terms/publisher","Ufficio federale dell'energia UFE"
"https://energy.ld.admin.ch/sfoe/bfe_multiplemeasure_test/6","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://energy.ld.admin.ch/sfoe/bfe_multiplemeasure_test/6","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://energy.ld.admin.ch/sfoe/bfe_multiplemeasure_test/6","http://schema.org/creator","https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-energie-bfe"
"https://energy.ld.admin.ch/sfoe/bfe_multiplemeasure_test/6","http://schema.org/datePublished","2022-08-26"
"https://energy.ld.admin.ch/sfoe/bfe_multiplemeasure_test/6","http://schema.org/description","Test multiple measures"
"https://energy.ld.admin.ch/sfoe/bfe_multiplemeasure_test/6","http://schema.org/name","Test multiple measures"
"https://energy.ld.admin.ch/sfoe/bfe_multiplemeasure_test/6","http://schema.org/workExample","https://ld.admin.ch/application/visualize"
"https://energy.ld.admin.ch/sfoe/bfe_multiplemeasure_test/6","https://visualize.admin.ch/hasDimension","https://energy.ld.admin.ch/sfoe/bfe_multiplemeasure_test/year"
"https://energy.ld.admin.ch/sfoe/bfe_multiplemeasure_test/year","https://visualize.admin.ch/hasTimeUnit","http://www.w3.org/2006/time#unitYear"
"https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-energie-bfe","http://schema.org/name","Bundesamt für Energie BFE"
"https://register.ld.admin.ch/opendataswiss/category/energy","http://schema.org/name","Energie"
"https://environment.ld.admin.ch/foen/ubd0104prod/5","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://cube.link/Cube"
"https://environment.ld.admin.ch/foen/ubd0104prod/5","https://cube.link/observationConstraint","https://environment.ld.admin.ch/foen/ubd0104prod/5/shape/"
"https://environment.ld.admin.ch/foen/ubd0104prod/5","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/territory"
"https://environment.ld.admin.ch/foen/ubd0104prod/5","http://purl.org/dc/terms/publisher","Bundesamt für Umwelt BAFU"
"https://environment.ld.admin.ch/foen/ubd0104prod/5","http://schema.org/about","https://register.ld.admin.ch/foen/theme/15"
"https://environment.ld.admin.ch/foen/ubd0104prod/5","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://environment.ld.admin.ch/foen/ubd0104prod/5","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://environment.ld.admin.ch/foen/ubd0104prod/5","http://schema.org/creator","https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-umwelt-bafu"
"https://environment.ld.admin.ch/foen/ubd0104prod/5","http://schema.org/datePublished","2022-07-05"
"https://environment.ld.admin.ch/foen/ubd0104prod/5","http://schema.org/description","Die Erhebungen zur Badegewässerqualität beurteilen die hygienische Qualität der Gewässer anhand der E.Coli und intestinalen Enterokokken. Sie geben Hinweise darauf, wie gut Gewässerschutzmassnahmen greifen, und insbesondere wieweit die Abwasserreinigungsanlagen ihre Funktion erfüllen. "
"https://environment.ld.admin.ch/foen/ubd0104prod/5","http://schema.org/name","Qualität der Badegewässer"
"https://environment.ld.admin.ch/foen/ubd0104prod/5","http://schema.org/workExample","https://ld.admin.ch/application/visualize"
"https://environment.ld.admin.ch/foen/ubd0104prod/5","https://visualize.admin.ch/hasDimension","https://environment.ld.admin.ch/foen/ubd0104prod/dateofprobing"
"https://environment.ld.admin.ch/foen/ubd0104prod/dateofprobing","https://visualize.admin.ch/hasTimeUnit","http://www.w3.org/2006/time#unitDay"
"https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-umwelt-bafu","http://schema.org/name","Bundesamt für Umwelt BAFU"
"https://register.ld.admin.ch/opendataswiss/category/territory","http://schema.org/name","Raum und Umwelt"
"https://register.ld.admin.ch/foen/theme/15","http://schema.org/inDefinedTermSet","https://register.ld.admin.ch/foen/theme"
"https://register.ld.admin.ch/foen/theme/15","http://schema.org/name","Wasser"
