"subject","predicate","object"
"https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_co2wirkung/4","https://visualize.admin.ch/hasThemeLabels","Energy|||Construction and housing|||Statistical basis|||Population"
"https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_co2wirkung/region","https://visualize.admin.ch/hasTermset","https://ld.admin.ch/dimension/country"
"https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_co2wirkung/region","http://schema.org/name","Region"
"https://ld.admin.ch/dimension/country","http://schema.org/name","Countries"
"https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_co2wirkung/4","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/construction"
"https://register.ld.admin.ch/opendataswiss/category/construction","http://schema.org/name","Construction and housing"
"https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_co2wirkung/4","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/statistical-basis"
"https://register.ld.admin.ch/opendataswiss/category/statistical-basis","http://schema.org/name","Statistical basis"
"https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_co2wirkung/4","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/population"
"https://register.ld.admin.ch/opendataswiss/category/population","http://schema.org/name","Population"
"https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/15","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","https://cube.link/Cube"
"https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/15","https://cube.link/observationConstraint","https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/15/shape/"
"https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/15","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/energy"
"https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/15","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/15","http://schema.org/creativeWorkStatus","https://ld.admin.ch/vocabulary/CreativeWorkStatus/Published"
"https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/15","http://schema.org/creator","https://register.ld.admin.ch/opendataswiss/org/bundesamt-fur-energie-bfe"
"https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/15","http://schema.org/datePublished","2023-09-12"
"https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/15","http://schema.org/description","Anzahl Gesuche mit Auszahlungen im jeweiligen Jahr, Gebäudeprogramm ab 2017 (nur direkte Massnahmen)"
"https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/15","http://schema.org/name","Gebäudeprogramm - Anzahl unterstützter Gesuche"
"https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/15","http://schema.org/workExample","https://ld.admin.ch/application/visualize"
"https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/15","https://visualize.admin.ch/hasDimension","https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/region"
"https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/region","https://visualize.admin.ch/hasTermset","https://ld.admin.ch/dimension/canton"
"https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/region","http://schema.org/name","Kanton"
"https://ld.admin.ch/dimension/canton","http://schema.org/name","Cantons"
"https://register.ld.admin.ch/opendataswiss/category/energy","http://schema.org/name","Energy"
"https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/15","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/construction"
"https://register.ld.admin.ch/opendataswiss/category/construction","http://schema.org/name","Construction and housing"
"https://energy.ld.admin.ch/sfoe/bfe_ogd18_gebaeudeprogramm_anzahl_gesuche/15","http://www.w3.org/ns/dcat#theme","https://register.ld.admin.ch/opendataswiss/category/population"
"https://register.ld.admin.ch/opendataswiss/category/population","http://schema.org/name","Population"
