Jahr,Forstzone_id,Forstzone,Kanton_id,Kanton,Eigentümertyp_id,Eigentümertyp,Holzartengruppe_id,Holzartengruppe,Holzernte - Total,Stammholz,Industrieholz,Energieholz - Total,>> Stück-Energieholz,>> Hack-Energieholz,Übrige Sortimente
,,,21,Ticino,0,Eigentümertyp - Total,0,Holzartengruppe - Total,92578,12507,2956,77115,70849,6266,0
,,,,,,,1,Nadelholz,30571,12253,2855,15463,13763,1700,0
,,,,,,,2,Laubholz,62007,254,101,61652,57086,4566,0
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,75811,12295,2956,60560,54294,6266,0
,,,,,,,1,Nadelholz,29581,12124,2855,14602,12902,1700,0
,,,,,,,2,Laubholz,46230,171,101,45958,41392,4566,0
,,,,,23,Privatwälder,0,Holzartengruppe - Total,16767,212,0,16555,16555,0,0
,,,,,,,1,Nadelholz,990,129,0,861,861,0,0
,,,,,,,2,Laubholz,15777,83,0,15694,15694,0,0
,,,22,Vaud,0,Eigentümertyp - Total,0,Holzartengruppe - Total,385748,201827,36035,147399,120430,26969,487
,,,,,,,1,Nadelholz,252133,188810,28535,34609,25858,8751,179
,,,,,,,2,Laubholz,133615,13017,7500,112790,94572,18218,308
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,315619,170988,28036,116154,90450,25704,441
,,,,,,,1,Nadelholz,209452,159455,22342,27522,19729,7793,133
,,,,,,,2,Laubholz,106167,11533,5694,88632,70721,17911,308
,,,,,23,Privatwälder,0,Holzartengruppe - Total,70129,30839,7999,31245,29980,1265,46
,,,,,,,1,Nadelholz,42681,29355,6193,7087,6129,958,46
,,,,,,,2,Laubholz,27448,1484,1806,24158,23851,307,0
,,,23,Valais / Wallis,0,Eigentümertyp - Total,0,Holzartengruppe - Total,103554,41809,13607,48127,24463,23664,11
,,,,,,,1,Nadelholz,95442,41809,13465,40157,19386,20771,11
,,,,,,,2,Laubholz,8112,0,142,7970,5077,2893,0
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,99523,40694,13333,45485,22490,22995,11
,,,,,,,1,Nadelholz,92467,40694,13216,38546,18374,20172,11
,,,,,,,2,Laubholz,7056,0,117,6939,4116,2823,0
,,,,,23,Privatwälder,0,Holzartengruppe - Total,4031,1115,274,2642,1973,669,0
,,,,,,,1,Nadelholz,2975,1115,249,1611,1012,599,0
,,,,,,,2,Laubholz,1056,0,25,1031,961,70,0
,,,24,Neuchâtel,0,Eigentümertyp - Total,0,Holzartengruppe - Total,136055,85976,12922,37039,12502,24537,118
,,,,,,,1,Nadelholz,101365,80661,4521,16143,1779,14364,40
,,,,,,,2,Laubholz,34690,5315,8401,20896,10723,10173,78
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,88892,53847,8227,26700,6746,19954,118
,,,,,,,1,Nadelholz,64784,50251,2679,11814,391,11423,40
,,,,,,,2,Laubholz,24108,3596,5548,14886,6355,8531,78
,,,,,23,Privatwälder,0,Holzartengruppe - Total,47163,32129,4695,10339,5756,4583,0
,,,,,,,1,Nadelholz,36581,30410,1842,4329,1388,2941,0
,,,,,,,2,Laubholz,10582,1719,2853,6010,4368,1642,0
,,,25,Genève,0,Eigentümertyp - Total,0,Holzartengruppe - Total,7285,719,262,6282,1435,4847,22
,,,,,,,1,Nadelholz,587,307,258,0,0,0,22
,,,,,,,2,Laubholz,6698,412,4,6282,1435,4847,0
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,4763,557,255,3942,1215,2727,9
,,,,,,,1,Nadelholz,565,303,254,0,0,0,9
,,,,,,,2,Laubholz,4198,255,2,3942,1215,2727,0
,,,,,23,Privatwälder,0,Holzartengruppe - Total,2522,162,7,2340,220,2120,13
,,,,,,,1,Nadelholz,22,4,4,0,0,0,13
,,,,,,,2,Laubholz,2500,157,2,2340,220,2120,0
,,,26,Jura,0,Eigentümertyp - Total,0,Holzartengruppe - Total,174847,70412,50786,53649,17079,36570,0
,,,,,,,1,Nadelholz,85431,44971,24028,16432,2594,13838,0
,,,,,,,2,Laubholz,89416,25441,26758,37217,14485,22732,0
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,159491,62570,46641,50280,13715,36565,0
,,,,,,,1,Nadelholz,76639,39164,21917,15558,1721,13837,0
,,,,,,,2,Laubholz,82852,23407,24723,34722,11994,22728,0
,,,,,23,Privatwälder,0,Holzartengruppe - Total,15356,7842,4145,3369,3364,5,0
,,,,,,,1,Nadelholz,8792,5807,2111,874,873,1,0
,,,,,,,2,Laubholz,6564,2034,2035,2495,2491,4,0
,1,Jura,1,Zürich,0,Eigentümertyp - Total,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,,,23,Privatwälder,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,2,Bern / Berne,0,Eigentümertyp - Total,0,Holzartengruppe - Total,111877,55696,27604,28577,12900,15677,0
,,,,,,,1,Nadelholz,70683,48416,13723,8544,1996,6548,0
,,,,,,,2,Laubholz,41194,7280,13881,20033,10904,9129,0
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,94364,41546,27444,25374,9980,15394,0
,,,,,,,1,Nadelholz,57630,36530,13707,7393,862,6531,0
,,,,,,,2,Laubholz,36734,5016,13737,17981,9118,8863,0
,,,,,23,Privatwälder,0,Holzartengruppe - Total,17513,14150,160,3203,2920,283,0
,,,,,,,1,Nadelholz,13053,11886,16,1151,1134,17,0
,,,,,,,2,Laubholz,4460,2264,144,2052,1786,266,0
,,,3,Luzern,0,Eigentümertyp - Total,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,,,23,Privatwälder,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,4,Uri,0,Eigentümertyp - Total,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,,,23,Privatwälder,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,5,Schwyz,0,Eigentümertyp - Total,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,,,23,Privatwälder,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,6,Obwalden,0,Eigentümertyp - Total,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,,,23,Privatwälder,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,7,Nidwalden,0,Eigentümertyp - Total,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,,,23,Privatwälder,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,8,Glarus,0,Eigentümertyp - Total,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,,,23,Privatwälder,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,9,Zug,0,Eigentümertyp - Total,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,,,23,Privatwälder,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,10,Fribourg / Freiburg,0,Eigentümertyp - Total,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,,,23,Privatwälder,0,Holzartengruppe - Total,...,...,...,...,...,...,...
,,,,,,,1,Nadelholz,...,...,...,...,...,...,...
,,,,,,,2,Laubholz,...,...,...,...,...,...,...
,,,11,Solothurn,0,Eigentümertyp - Total,0,Holzartengruppe - Total,116890,36361,23750,56726,23564,33162,53
,,,,,,,1,Nadelholz,42684,24787,8285,9589,1926,7663,23
,,,,,,,2,Laubholz,74206,11574,15465,47137,21638,25499,30
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,97906,32165,21989,43699,10537,33162,53
,,,,,,,1,Nadelholz,37990,22250,7830,7887,224,7663,23
,,,,,,,2,Laubholz,59916,9915,14159,35812,10313,25499,30
,,,,,23,Privatwälder,0,Holzartengruppe - Total,18984,4196,1761,13027,13027,0,0
,,,,,,,1,Nadelholz,4694,2537,455,1702,1702,0,0
,,,,,,,2,Laubholz,14290,1659,1306,11325,11325,0,0
,,,12,Basel-Stadt,0,Eigentümertyp - Total,0,Holzartengruppe - Total,3300,450,251,2599,0,2599,0
,,,,,,,1,Nadelholz,228,150,63,15,0,15,0
,,,,,,,2,Laubholz,3072,300,188,2584,0,2584,0
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,3300,450,251,2599,0,2599,0
,,,,,,,1,Nadelholz,228,150,63,15,0,15,0
,,,,,,,2,Laubholz,3072,300,188,2584,0,2584,0
,,,,,23,Privatwälder,0,Holzartengruppe - Total,0,0,0,0,0,0,0
,,,,,,,1,Nadelholz,0,0,0,0,0,0,0
,,,,,,,2,Laubholz,0,0,0,0,0,0,0
,,,13,Basel-Landschaft,0,Eigentümertyp - Total,0,Holzartengruppe - Total,124254,33997,11970,78192,14858,63334,95
,,,,,,,1,Nadelholz,25405,12871,3323,9116,860,8256,95
,,,,,,,2,Laubholz,98849,21126,8647,69076,13998,55078,0
,,,,,10,Öffentliche Wälder,0,Holzartengruppe - Total,111006,30796,11509,68606,10142,58464,95
